HashFunction,HashOwner,HashApp,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
12565e2d8b27017788b2ec7fd23d020f66a2e0c8acb6a8543be0f71edf8602bc,98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,d9e0c9a330d5a8eff2ff30a61e26f78e567669430f19e5bd14494feb92d65a00,21872,198.0,180.0,183.0,195.0,200.0,204.0,209.0,211.0,378.0
c9aaf0ff618d863501313183fff2869f281b455d6f1cf9411551778f633305cc,69b740be626511ff3846701a11c44097a0d7163f0411238ddbb574dd5d87873b,9fdfb64b56eccc6aac47f68f429d6f0cdd34880329637873c08f9f7d4adf53c7,22209,9.416666666666666,7.833333333333333,8.25,8.75,9.75,9.916666666666666,10.416666666666666,10.583333333333334,10.666666666666666
17e24635362b4c186cf01870bb683dd597f90f195634e4b99c5e47d46e2c82b9,69b740be626511ff3846701a11c44097a0d7163f0411238ddbb574dd5d87873b,9fdfb64b56eccc6aac47f68f429d6f0cdd34880329637873c08f9f7d4adf53c7,22209,9.416666666666666,7.833333333333333,8.25,8.75,9.75,9.916666666666666,10.416666666666666,10.583333333333334,10.666666666666666
1948876d67f73860a97e6a6f57dad339f21f0188ff3eff1bf6f3df7f37606e71,98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,3f9fb0df8cc1017c171a7f07afd0fd8ca810f9a6f422a0872c1d3c471eb080b6,70035,22.77777777777778,20.444444444444443,21.11111111111111,22.22222222222222,22.88888888888889,23.55555555555556,24.11111111111111,24.11111111111111,42.11111111111112
28bff1b3e5bb814eb4f8b4780e8c9ac09e97194e27899c167697aac614b61c35,98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,3f9fb0df8cc1017c171a7f07afd0fd8ca810f9a6f422a0872c1d3c471eb080b6,70035,22.77777777777778,20.444444444444443,21.11111111111111,22.22222222222222,22.88888888888889,23.55555555555556,24.11111111111111,24.11111111111111,42.11111111111112
6036fc9c2124e4811749c8dd47e88a3466b0a91937bdb6ceba57eccea61278a7,05adaa46797bfe5f970486cea2a55eda78fd8c4fbf1021b9956cf2a34af24dd2,abd34a56f9444d1b5e540d8721e3473777bb0e36ff95d2ee1e1f1da3b01e7a46,71024,9.714285714285714,5.333333333333333,5.9523809523809526,9.80952380952381,10.095238095238097,10.285714285714286,10.571428571428571,10.80952380952381,12.0
fe87ead13c6d569e78bb64193b44310d30f58a2cfb590616fec3ffb30f59cd7b,ea21d9ac79a575951fe2dabcb467b993a7656d5e05a9720a881034400fedb421,c87b954aca381ade6eb380820f34693c6de47bd9efeada6e9e8827956431eae4,18615,183.0,169.0,176.0,179.0,180.0,189.0,192.0,202.0,321.0
8ed88cef914547d3cc7c9b0683789163f6cb74c489a02c955cf8a0050422d500,ef00f10db100a6215af2627ce2ccf674d48ef77abd58ab60db59622055cee2a7,b8645e03375b2cb947bd32b67a2b145f7adf35c59185cbe14a3618901a8c0a03,17231,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
08dac77bad1f97f6df44cb488e8105e41fd184d96f8ab172fb7781c4c10e92a2,104f438d72947b49216b97034e44c8f80e90b58c41c08afdad10f25a6eb1af7d,1e18e8b08faaf44ca6c460f5acf6fc09137626ee11f55077aa2ed356b9ab69bc,20680,11.8,11.266666666666667,11.466666666666669,11.6,11.733333333333333,11.866666666666667,12.466666666666669,13.533333333333331,19.6
195ce3553f9b5e8722723971b0ef36011a00ead3700259fa617b40e2b5310d35,aed35d9eaca0c29fbf4ed410c158c3c3f17c5427089550e4fe5646ff06021d45,d7b52bfcb61c7bc702e6488c3cb1bea8aab220efbe3d869d85a96eb1bf72b5b3,696,15.25,12.875,14.75,14.875,14.875,15.875,15.875,16.25,16.25
