HashFunction,Image,Port,Protocol,ScalingUpperBound,ScalingLowerBound,IterationMultiplier,EnvVars,ProgramArgs
c13acdc7567b225971cef2416a3a2b03c8a4d8d154df48afe75834e2f5c59ddf,docker.io/vhiveease/relay:latest,50000,tcp,5,0,80,ENABLE_TRACING=true,"--addr=0.0.0.0:50000 --function-endpoint-url=0.0.0.0 --function-endpoint-port=50051 --function-name=aes-go"
a2faad786b3c813b12ce57d349d5e62f6d0f22ceecfa86cd72a962853383b600,docker.io/vhiveease/aes-go:latest,50001,tcp,5,0,80,ENABLE_TRACING=true,--addr=0.0.0.0:50051 --zipkin=http://zipkin:9411/api/v2/spans
7dc5aeabc131669912e8c793c8925cc9928321f45f13a4af031592b4611630d7,docker.io/cvetkovic/dirigent_grpc_function:latest,80,tcp,5,0,80,,
ae8a1640fa932024f59b38a0b001808b5c64612bd60c6f3eb80ba9461ba2d091,docker.io/cvetkovic/dirigent_grpc_function:latest,80,tcp,5,0,80,,
