,submission_time,num_gpus,duration
0,0,1,21
1,0,1,44
2,0,1,1800
3,0,1,333
4,0,1,194
5,0,1,205
6,0,1,647
7,0,1,30
8,1,1,143
9,1,1,282
10,1,1,41
11,1,1,1800
12,1,1,142
13,1,1,33
14,2,1,1800
15,2,1,152
16,2,1,1109
17,2,1,1800
18,2,1,1800
19,2,1,42
20,2,1,72
21,2,1,121
22,2,1,72
23,2,1,112
24,3,1,263
25,3,1,193
26,3,1,1800
27,3,1,1800
28,3,1,1372
29,4,1,215
30,4,1,62
31,4,1,91
32,4,1,676
33,4,1,23
34,4,1,134
35,4,1,405
36,4,1,385
37,4,1,62
38,4,1,91
39,4,1,1800
40,4,1,71
41,4,1,121
42,4,1,1800
43,4,1,305
44,4,1,33
45,4,1,1800
46,4,2,42
47,5,1,1800
48,5,1,446
49,5,1,634
50,5,1,556
51,5,1,52
52,5,1,1800
53,5,1,458
54,5,1,264
55,5,1,428
56,5,1,244
57,5,1,1071
58,6,1,223
59,6,1,31
60,7,1,120
61,7,1,71
62,7,1,1800
63,7,1,237
64,8,1,63
65,8,2,308
66,8,1,82
67,8,1,319
68,8,1,113
69,8,1,104
70,8,1,324
71,8,1,144
72,8,1,21
73,9,1,1231
74,9,1,112
75,9,1,171
76,9,1,81
77,9,1,120
78,9,1,1800
79,9,1,1800
80,9,1,12
81,9,1,141
82,9,1,91
83,9,1,81
84,9,1,187
85,9,1,320
86,10,1,1682
87,10,1,1340
88,10,1,28
89,10,1,1800
90,10,1,132
91,10,1,112
92,11,1,62
93,11,1,102
94,11,8,1800
95,11,4,517
96,11,1,364
97,12,1,373
98,12,1,1800
99,12,1,35
100,12,1,51
101,12,1,154
102,12,1,68
103,12,1,1097
104,12,1,35
105,12,1,1800
106,12,1,42
107,13,1,41
108,13,1,13
109,13,1,507
110,13,1,41
111,13,1,806
112,13,1,103
113,14,1,71
114,14,1,1800
115,14,1,1800
116,14,1,1800
117,14,1,109
118,15,1,496
119,15,1,344
120,16,1,72
121,16,1,43
122,16,1,245
123,16,1,41
124,16,1,216
125,17,1,52
126,17,1,30
127,17,1,1800
128,17,1,1800
129,18,1,1800
130,18,1,233
131,18,1,1189
132,18,1,1800
133,18,1,51
134,18,1,23
135,18,1,53
136,19,1,568
137,19,1,788
138,19,1,929
139,19,1,254
140,19,1,32
141,20,1,1238
142,20,1,84
143,20,1,1800
144,20,1,112
145,21,1,13
146,21,1,264
147,21,1,133
148,21,1,1800
149,21,1,1800
150,21,1,73
151,21,1,42
152,21,1,507
153,22,1,73
154,22,1,300
155,22,1,490
156,22,1,229
157,22,1,1800
158,22,1,22
159,23,1,1800
160,23,1,1800
161,23,1,203
162,23,1,612
163,23,1,272
164,23,1,540
165,23,1,1800
166,23,1,1517
167,24,1,13
168,25,1,1800
169,25,1,1558
170,26,1,1800
171,26,1,1800
172,26,1,393
173,26,1,620
174,26,1,33
175,26,1,355
176,26,1,1800
177,27,1,1800
178,27,1,1800
179,27,1,465
180,28,1,13
181,28,1,101
182,29,1,981
183,29,1,210
184,29,1,145
185,29,4,561
186,29,1,19
187,30,1,284
188,30,1,1800
189,30,1,1800
190,30,1,266
191,30,1,535
192,31,1,41
193,31,1,62
194,31,1,1800
195,32,2,1800
196,32,1,71
197,33,1,22
198,33,1,274
199,34,1,696
200,34,1,52
201,34,1,663
202,34,1,238
203,34,1,376
204,34,1,717
205,34,1,256
206,35,1,1800
207,35,1,233
208,35,1,32
209,35,8,1800
210,35,1,506
211,36,1,720
212,37,1,84
213,37,1,233
214,37,1,117
215,37,1,13
216,37,1,211
217,38,1,12
218,38,1,224
219,38,1,1800
220,39,1,1800
221,39,1,1800
222,39,2,1800
223,39,1,286
224,39,1,276
225,39,1,13
226,40,1,213
227,40,1,85
228,40,1,1800
229,40,1,42
230,40,1,127
231,40,1,552
232,40,1,364
233,41,1,1800
234,41,1,1800
235,41,1,540
236,41,1,1800
237,41,1,1800
238,42,1,797
239,42,1,625
240,42,1,154
241,42,1,1800
242,42,1,23
243,42,1,12
244,42,1,959
245,43,1,766
246,43,1,1800
247,43,1,163
248,43,1,14
249,43,1,797
250,44,1,1800
251,44,1,378
252,44,1,358
253,44,1,377
254,44,1,1630
255,45,1,36
256,45,1,65
257,45,1,61
258,45,1,314
259,46,1,52
260,46,1,1800
261,46,1,1800
262,46,1,33
263,46,1,245
264,46,1,1800
265,46,1,905
266,47,1,31
267,47,1,516
268,47,1,81
269,48,1,1800
270,48,1,1800
271,48,1,1800
272,48,1,1638
273,48,1,52
274,48,2,1800
275,48,1,37
276,48,1,313
277,48,1,76
278,49,1,1455
279,49,1,281
280,49,1,33
281,49,1,120
282,49,1,887
283,49,1,1800
284,49,1,33
285,49,1,156
286,50,2,1800
287,50,1,1800
288,50,1,396
289,50,1,1800
290,50,1,241
291,50,1,71
292,50,1,94
293,50,1,122
294,50,1,449
295,51,1,73
296,51,1,1800
297,51,1,97
298,51,1,1503
299,51,1,1800
300,52,1,93
301,52,1,104
302,52,1,1800
303,52,1,1008
304,52,1,35
305,52,1,23
306,54,1,1320
307,54,1,12
308,55,1,475
309,55,1,1800
310,55,1,975
311,55,1,23
312,55,1,1800
313,55,1,1065
314,56,1,1097
315,56,1,283
316,56,1,53
317,57,1,52
318,58,1,1800
319,58,1,1800
320,58,1,1004
321,58,1,1800
322,58,1,21
323,59,1,1800
324,59,1,583
325,59,1,1597
326,60,1,12
327,61,1,133
328,61,1,33
329,61,1,262
330,61,1,565
331,62,1,41
332,62,1,1448
333,62,1,1800
334,62,1,33
335,62,1,1014
336,62,1,500
337,62,1,92
338,62,1,349
339,63,1,445
340,63,1,411
341,63,1,12
342,63,1,614
343,63,1,425
344,63,1,184
345,63,1,234
346,64,1,1800
347,64,1,52
348,64,1,359
349,64,2,52
350,64,1,167
351,65,1,12
352,65,2,162
353,65,1,53
354,65,1,255
355,65,1,1800
356,65,1,1800
357,65,1,32
358,66,1,635
359,66,1,1800
360,66,1,1800
361,66,1,1800
362,66,1,1800
363,66,1,1800
364,67,1,255
365,67,1,63
366,67,1,1800
367,67,1,95
368,67,1,22
369,67,1,153
370,68,1,1800
371,68,1,12
372,68,1,769
373,68,1,181
374,69,1,112
375,69,1,103
376,70,1,1800
377,70,1,365
378,70,1,154
379,70,1,497
380,70,1,1501
381,70,1,1800
382,70,1,1800
383,70,1,43
384,71,1,1800
385,71,1,122
386,71,1,1800
387,71,1,1800
388,71,1,1800
389,71,1,1800
390,71,1,1800
391,71,1,320
392,71,1,1800
393,71,1,993
394,71,1,1800
395,71,1,194
396,71,1,1800
397,71,1,1800
398,71,1,364
399,71,1,1800
400,71,1,293
401,71,1,1800
402,71,1,61
403,71,4,535
404,71,1,1800
405,71,1,389
406,71,1,1800
407,71,1,1800
408,71,1,276
409,72,1,585
410,72,1,1800
411,72,1,1800
412,72,1,351
413,72,1,1800
414,72,1,1800
415,72,1,1800
416,72,1,1800
417,72,1,1800
418,72,1,1800
419,72,1,1800
420,72,1,62
421,72,1,1800
422,72,1,1800
423,72,1,13
424,73,1,13
425,73,1,351
426,73,1,51
427,73,1,41
428,73,1,355
429,73,1,178
430,74,1,1800
431,74,1,1800
432,74,1,1800
433,74,1,1800
434,74,1,32
435,74,1,606
436,74,1,1800
437,74,1,1800
438,74,1,1800
439,75,1,31
440,75,1,1800
441,75,1,298
442,76,1,333
443,76,1,113
444,76,1,191
445,76,1,62
446,76,1,1800
447,77,1,31
448,77,1,72
449,77,1,969
450,78,1,445
451,78,1,1800
452,78,1,43
453,79,1,1800
454,79,1,233
455,79,1,1800
456,79,1,1800
457,79,1,1800
458,79,1,71
459,79,1,1800
460,79,1,1800
461,79,1,1800
462,79,1,1800
463,79,1,1800
464,79,1,1800
465,79,1,1800
466,79,1,1800
467,79,1,1800
468,79,1,1800
469,79,1,1800
470,79,1,1800
471,79,1,1800
472,79,1,276
473,79,1,52
474,79,1,1800
475,79,1,1800
476,79,1,1800
477,80,1,13
478,81,1,386
479,81,1,413
480,81,1,533
481,81,1,377
482,81,1,1800
483,81,1,22
484,81,1,223
485,81,1,379
486,81,1,183
487,82,1,736
